city,lat,long,country,iso2,state,capital,population,population_proper
Kuala Lumpur,3.1478,101.6953,Malaysia,MY,Kuala Lumpur,primary,8911000,1768000
Seberang Jaya,5.4,100.4667,Malaysia,MY,Pulau Pinang,,946092,946092
Klang,3.0333,101.45,Malaysia,MY,Selangor,,878000,878000
Ipoh,4.5972,101.075,Malaysia,MY,Perak,admin,866772,866772
Butterworth,5.3992,100.3639,Malaysia,MY,Pulau Pinang,,821652,821652
George Town,5.4144,100.3292,Malaysia,MY,Pulau Pinang,admin,794313,708127
Petaling Jaya,3.0972,101.6444,Malaysia,MY,Selangor,,638516,638516
Kuantan,3.8167,103.3333,Malaysia,MY,Pahang,admin,607778,607778
Shah Alam,3.0722,101.5167,Malaysia,MY,Selangor,admin,584340,584340
Johor Bahru,1.4556,103.7611,Malaysia,MY,Johor,admin,497097,497097
Kota Bharu,6.1333,102.25,Malaysia,MY,Kelantan,admin,491237,491237
Melaka,2.1944,102.2486,Malaysia,MY,Melaka,admin,455300,455300
Kota Kinabalu,5.975,116.0725,Malaysia,MY,Sabah,admin,452058,452058
Seremban,2.7222,101.9417,Malaysia,MY,Negeri Sembilan,admin,419536,419536
Sandakan,5.8388,118.1173,Malaysia,MY,Sabah,,396290,396290
Sungai Petani,5.65,100.48,Malaysia,MY,Kedah,,358499,358499
Kuching,1.5575,110.3439,Malaysia,MY,Sarawak,admin,325132,325132
Pasir Gudang,1.5028,103.9356,Malaysia,MY,Johor,,312499,312499
Kuala Terengganu,5.3292,103.1361,Malaysia,MY,Terengganu,admin,255109,255109
Sibu,2.3,111.8167,Malaysia,MY,Sarawak,,247995,247995
Taiping,4.85,100.7333,Malaysia,MY,Perak,,237095,237095
Miri,4.3925,113.9861,Malaysia,MY,Sarawak,,234541,234541
Alor Setar,6.1183,100.3694,Malaysia,MY,Kedah,admin,217000,217000
Bukit Mertajam,5.3631,100.4667,Malaysia,MY,Pulau Pinang,,210000,210000
Lahad Datu,5.03,118.34,Malaysia,MY,Sabah,,199830,199830
Muar,2.05,102.56,Malaysia,MY,Johor,,191346,191346
Kluang,2.0336,103.3194,Malaysia,MY,Johor,,169828,169828
Batu Pahat,1.85,102.93,Malaysia,MY,Johor,,140000,140000
Batu Gajah,4.4667,101.05,Malaysia,MY,Perak,,133422,133422
Bintulu,3.17,113.03,Malaysia,MY,Sarawak,,114058,114058
Tawau,4.2448,117.8911,Malaysia,MY,Sabah,,113809,113809
Teluk Intan,4.0259,101.0213,Malaysia,MY,Perak,,101659,101659
Labuan,5.3,115.22,Malaysia,MY,Labuan,admin,95120,95120
Cukai,4.2332,103.4479,Malaysia,MY,Terengganu,,82425,82425
Putrajaya,2.93,101.69,Malaysia,MY,Putrajaya,primary,67964,67964
Taman Johor Jaya,1.5333,103.8167,Malaysia,MY,Johor,,66000,66000
Kangar,6.4333,100.2,Malaysia,MY,Perlis,admin,48898,48898
